,state,state_p,act,r_disp,s,s_p
0,"(0.0, 0.0)","(0.000101, 2.86)",10.0,1.004346,25,11957
1,"(0.0, 0.0)","(0.0001, 2.86)",20.0,0.999346,25,1532
2,"(0.0, 0.0)","(9.9e-05, 2.86)",30.0,0.994346,25,19046
3,"(0.0, 0.0)","(9.8e-05, 2.86)",40.0,0.989346,25,8899
4,"(0.0, 0.0)","(9.6e-05, 2.86)",50.0,0.984346,25,15988
5,"(0.0, 0.0)","(9.5e-05, 2.86)",60.0,0.979346,25,5841
6,"(0.0, 0.0)","(9.5e-05, 2.86)",70.0,-1.072037,25,5841
7,"(0.0, 0.0)","(9.7e-05, 2.86)",80.0,-1.123333,25,26969
8,"(0.0, 0.0)","(9.9e-05, 2.86)",90.0,-1.16537,25,19046
9,"(0.0, 0.0)","(0.000101, 2.86)",100.0,-1.216667,25,11957
10,"(0.0, 0.0)","(0.000104, 2.86)",110.0,-1.267963,25,15015
11,"(0.0, 0.0)","(0.000108, 2.86)",120.0,-1.31,25,559
12,"(0.0, 0.0)","(0.000111, 2.86)",130.0,-1.352037,25,3756
13,"(0.0, 0.0)","(0.000115, 2.86)",140.0,-1.394074,25,17100
14,"(0.0, 0.0)","(0.00012, 2.86)",150.0,-1.436111,25,13069
15,"(0.0, 0.0)","(0.000124, 2.86)",160.0,-1.478148,25,27108
16,"(0.0, 0.0)","(0.000129, 2.86)",170.0,-1.520185,25,22660
17,"(0.0, 0.0)","(0.000134, 2.86)",180.0,-1.552963,25,18212
18,"(0.0, 0.0)","(0.000139, 2.86)",190.0,-1.595,25,14181
19,"(0.0, 0.0)","(0.000144, 2.86)",200.0,-1.627778,25,10150
20,"(4e-05, 2.86)","(4e-05, 3.08)",10.0,1.106801,23355,23356
21,"(3.8e-05, 2.86)","(3.8e-05, 3.08)",20.0,1.159935,2366,2367
22,"(3.5e-05, 2.86)","(3.5e-05, 3.08)",30.0,1.211027,27803,27804
23,"(3.1e-05, 2.86)","(3.1e-05, 3.08)",40.0,1.240563,13625,13626
24,"(2.5e-05, 2.86)","(2.5e-05, 3.08)",50.0,1.253571,7509,7510
25,"(1.9e-05, 2.86)","(1.9e-05, 3.08)",60.0,1.239504,1115,1116
26,"(1.3e-05, 2.86)","(1.3e-05, 3.08)",70.0,1.216748,23216,23217
27,"(7e-06, 2.86)","(7e-06, 3.08)",80.0,1.186027,16544,16545
28,"(3e-06, 2.86)","(3e-06, 3.08)",90.0,1.148333,3200,3201
29,"(1e-06, 2.86)","(1e-06, 3.08)",100.0,1.112338,10428,10429
30,"(4e-06, 2.86)","(4e-06, 3.08)",110.0,1.077911,13486,13487
31,"(7e-06, 2.86)","(7e-06, 3.08)",120.0,1.044938,16544,16545
32,"(1.1e-05, 2.86)","(1.1e-05, 3.08)",130.0,1.019848,2227,2228
33,"(1.4e-05, 2.86)","(1.4e-05, 3.08)",140.0,0.989172,5424,5425
34,"(1.7e-05, 2.86)","(1.7e-05, 3.08)",150.0,0.965698,8482,8483
35,"(2e-05, 2.86)","(2e-05, 3.08)",160.0,0.948736,11540,11541
36,"(2.3e-05, 2.86)","(2.3e-05, 3.08)",170.0,0.926299,14598,14599
37,"(2.6e-05, 2.86)","(2.6e-05, 3.08)",180.0,-0.09,17656,17657
38,"(2.9e-05, 2.86)","(2.9e-05, 3.08)",190.0,-1.106173,20992,20993
39,"(3.3e-05, 2.86)","(3.3e-05, 3.08)",200.0,-1.11676,6675,6676
40,"(4e-05, 2.86)","(4e-05, 3.08)",10.0,1.08305,23355,23356
41,"(3.8e-05, 2.86)","(3.8e-05, 3.08)",20.0,1.128158,2366,2367
42,"(3.5e-05, 2.86)","(3.5e-05, 3.08)",30.0,1.169932,27803,27804
43,"(3.1e-05, 2.86)","(3.1e-05, 3.08)",40.0,1.18979,13625,13626
44,"(2.5e-05, 2.86)","(2.5e-05, 3.08)",50.0,1.19331,7509,7510
45,"(1.9e-05, 2.86)","(1.9e-05, 3.08)",60.0,1.18831,1115,1116
46,"(1.3e-05, 2.86)","(1.3e-05, 3.08)",70.0,1.166389,23216,23217
47,"(7e-06, 2.86)","(7e-06, 3.08)",80.0,1.136871,16544,16545
48,"(3e-06, 2.86)","(3e-06, 3.08)",90.0,1.108333,3200,3201
49,"(1e-06, 2.86)","(1e-06, 3.08)",100.0,1.073377,10428,10429
50,"(4e-06, 2.86)","(4e-06, 3.08)",110.0,1.039937,13486,13487
51,"(7e-06, 2.86)","(7e-06, 3.08)",120.0,1.007901,16544,16545
52,"(1.1e-05, 2.86)","(1.1e-05, 3.08)",130.0,0.983485,2227,2228
53,"(1.4e-05, 2.86)","(1.4e-05, 3.08)",140.0,0.959762,5424,5425
