,state,state_p,act,r_vel,s,s_p
0,"(0.0, 0.0)","(5e-06, 2.86)",10.0,-0.005,25,11818
1,"(0.0, 0.0)","(1.8e-05, 2.86)",20.0,-0.01,25,9038
2,"(0.0, 0.0)","(2.5e-05, 2.86)",30.0,-0.015,25,3339
3,"(0.0, 0.0)","(2.6e-05, 2.86)",40.0,-0.02,25,50321
4,"(0.0, 0.0)","(2.2e-05, 2.86)",50.0,-1.053169,25,29332
5,"(0.0, 0.0)","(1.4e-05, 2.86)",60.0,-1.142676,25,43788
6,"(0.0, 0.0)","(4e-06, 2.86)",70.0,-1.232183,25,20575
7,"(0.0, 0.0)","(2e-06, 2.86)",80.0,-1.32169,25,37394
8,"(0.0, 0.0)","(7e-06, 2.86)",90.0,-1.404155,25,49626
9,"(0.0, 0.0)","(1.2e-05, 2.86)",100.0,-1.48662,25,5841
10,"(0.0, 0.0)","(1.8e-05, 2.86)",110.0,-1.562042,25,9038
11,"(0.0, 0.0)","(2.2e-05, 2.86)",120.0,-1.637465,25,29332
12,"(0.0, 0.0)","(2.6e-05, 2.86)",130.0,-1.705845,25,50321
13,"(0.0, 0.0)","(3e-05, 2.86)",140.0,-1.774225,25,15432
14,"(0.0, 0.0)","(3.5e-05, 2.86)",150.0,-1.842606,25,26830
15,"(0.0, 0.0)","(3.8e-05, 2.86)",160.0,-1.910986,25,976
16,"(0.0, 0.0)","(4.1e-05, 2.86)",170.0,-1.972324,25,29888
17,"(0.0, 0.0)","(4.4e-05, 2.86)",180.0,-2.040704,25,4034
18,"(0.0, 0.0)","(4.7e-05, 2.86)",190.0,-2.102042,25,32807
19,"(0.0, 0.0)","(5e-05, 2.86)",200.0,-2.16338,25,6953
20,"(9.4e-05, 2.86)","(9.4e-05, 3.08)",10.0,1.113329,11401,11402
21,"(0.00011, 2.86)","(0.00011, 3.08)",20.0,1.238705,37672,37673
22,"(0.000124, 2.86)","(0.000124, 3.08)",30.0,1.390248,26552,26553
23,"(0.000135, 2.86)","(0.000135, 3.08)",40.0,1.510159,41425,41426
24,"(0.00014, 2.86)","(0.00014, 3.08)",50.0,1.660315,53657,53658
25,"(0.000138, 2.86)","(0.000138, 3.08)",60.0,1.729124,15710,15711
26,"(0.000129, 2.86)","(0.000129, 3.08)",70.0,1.770243,38367,38368
27,"(0.000112, 2.86)","(0.000112, 3.08)",80.0,1.765243,20853,20854
28,"(9.3e-05, 2.86)","(9.3e-05, 3.08)",90.0,1.753507,20158,20159
29,"(8e-05, 2.86)","(8e-05, 3.08)",100.0,1.715568,22799,22800
30,"(7.9e-05, 2.86)","(7.9e-05, 3.08)",110.0,1.65422,31000,31001
31,"(7.8e-05, 2.86)","(7.8e-05, 3.08)",120.0,1.60782,39479,39480
32,"(7.6e-05, 2.86)","(7.6e-05, 3.08)",130.0,1.557896,1949,1950
33,"(7.6e-05, 2.86)","(7.6e-05, 3.08)",140.0,1.510328,1949,1950
34,"(7.5e-05, 2.86)","(7.5e-05, 3.08)",150.0,1.479839,10845,10846
35,"(7.4e-05, 2.86)","(7.4e-05, 3.08)",160.0,1.445316,19602,19603
36,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",170.0,1.411894,27942,27943
37,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",180.0,1.379512,27942,27943
38,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",190.0,1.356807,27942,27943
39,"(7.2e-05, 2.86)","(7.2e-05, 3.08)",200.0,1.330267,36421,36422
40,"(9.4e-05, 2.86)","(9.4e-05, 3.08)",10.0,1.103434,11401,11402
41,"(0.00011, 2.86)","(0.00011, 3.08)",20.0,1.216667,37672,37673
42,"(0.000124, 2.86)","(0.000124, 3.08)",30.0,1.354048,26552,26553
43,"(0.000135, 2.86)","(0.000135, 3.08)",40.0,1.4591,41425,41426
44,"(0.00014, 2.86)","(0.00014, 3.08)",50.0,1.561207,53657,53658
45,"(0.000138, 2.86)","(0.000138, 3.08)",60.0,1.661176,15710,15711
46,"(0.000129, 2.86)","(0.000129, 3.08)",70.0,1.675037,38367,38368
47,"(0.000112, 2.86)","(0.000112, 3.08)",80.0,1.676418,20853,20854
48,"(9.3e-05, 2.86)","(9.3e-05, 3.08)",90.0,1.671418,20158,20159
49,"(8e-05, 2.86)","(8e-05, 3.08)",100.0,1.622727,22799,22800
50,"(7.9e-05, 2.86)","(7.9e-05, 3.08)",110.0,1.576206,31000,31001
51,"(7.8e-05, 2.86)","(7.8e-05, 3.08)",120.0,1.526207,39479,39480
52,"(7.6e-05, 2.86)","(7.6e-05, 3.08)",130.0,1.494322,1949,1950
53,"(7.6e-05, 2.86)","(7.6e-05, 3.08)",140.0,1.453179,1949,1950
54,"(7.5e-05, 2.86)","(7.5e-05, 3.08)",150.0,1.418506,10845,10846
55,"(7.4e-05, 2.86)","(7.4e-05, 3.08)",160.0,1.384968,19602,19603
56,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",170.0,1.348022,27942,27943
57,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",180.0,1.321043,27942,27943
58,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",190.0,1.294728,27942,27943
59,"(7.2e-05, 2.86)","(7.2e-05, 3.08)",200.0,1.277246,36421,36422
60,"(9.4e-05, 2.86)","(9.4e-05, 3.08)",10.0,1.127114,11401,11402
61,"(0.00011, 2.86)","(0.00011, 3.08)",20.0,1.267523,37672,37673
62,"(0.000124, 2.86)","(0.000124, 3.08)",30.0,1.443115,26552,26553
63,"(0.000135, 2.86)","(0.000135, 3.08)",40.0,1.599186,41425,41426
64,"(0.00014, 2.86)","(0.00014, 3.08)",50.0,1.760256,53657,53658
65,"(0.000138, 2.86)","(0.000138, 3.08)",60.0,1.910767,15710,15711
66,"(0.000129, 2.86)","(0.000129, 3.08)",70.0,1.968597,38367,38368
67,"(0.000112, 2.86)","(0.000112, 3.08)",80.0,2.000293,20853,20854
68,"(9.3e-05, 2.86)","(9.3e-05, 3.08)",90.0,1.973116,20158,20159
69,"(8e-05, 2.86)","(8e-05, 3.08)",100.0,1.918198,22799,22800
70,"(7.9e-05, 2.86)","(7.9e-05, 3.08)",110.0,1.859089,31000,31001
71,"(7.8e-05, 2.86)","(7.8e-05, 3.08)",120.0,1.802876,39479,39480
72,"(7.6e-05, 2.86)","(7.6e-05, 3.08)",130.0,1.755261,1949,1950
73,"(7.6e-05, 2.86)","(7.6e-05, 3.08)",140.0,1.709553,1949,1950
74,"(7.5e-05, 2.86)","(7.5e-05, 3.08)",150.0,1.671082,10845,10846
75,"(7.4e-05, 2.86)","(7.4e-05, 3.08)",160.0,1.628589,19602,19603
76,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",170.0,1.597779,27942,27943
77,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",180.0,1.562819,27942,27943
78,"(7.3e-05, 2.86)","(7.3e-05, 3.08)",190.0,1.533655,27942,27943
79,"(7.2e-05, 2.86)","(7.2e-05, 3.08)",200.0,1.505187,36421,36422
80,"(3.2e-05, 3.08)","(3.2e-05, 2.508)",10.0,-1.0175,53380,53378
81,"(3.6e-05, 3.08)","(3.6e-05, 2.508)",20.0,-1.185,18630,18628
82,"(3.7e-05, 3.08)","(3.7e-05, 2.508)",30.0,-1.34,9595,9593
83,"(3.4e-05, 3.08)","(3.4e-05, 2.508)",40.0,-1.4825,35171,35169
