,state,state_p,act,r_acc
0,"(3, 26)","(3, 27)",10.0,-0.100034
1,"(3, 26)","(3, 27)",20.0,-0.200068
2,"(3, 26)","(3, 27)",30.0,-0.300102
3,"(3, 26)","(3, 26)",40.0,-0.400135
4,"(3, 26)","(3, 26)",50.0,-0.500169
5,"(3, 26)","(3, 26)",60.0,-5.0993
6,"(3, 26)","(3, 26)",70.0,-10.492915
7,"(3, 26)","(3, 26)",80.0,-15.707677
8,"(3, 26)","(3, 26)",90.0,-20.707257
9,"(3, 26)","(3, 26)",100.0,-25.523455
10,"(3, 26)","(3, 26)",110.0,-30.182116
11,"(3, 26)","(3, 26)",120.0,-34.703481
12,"(3, 26)","(3, 26)",130.0,-39.121873
13,"(3, 26)","(3, 26)",140.0,-43.449105
14,"(3, 26)","(3, 26)",150.0,-47.702948
15,"(3, 26)","(3, 26)",160.0,-51.895406
16,"(3, 26)","(3, 26)",170.0,-56.032191
17,"(3, 26)","(3, 26)",180.0,-60.120751
18,"(3, 26)","(3, 26)",190.0,-64.147331
19,"(3, 26)","(3, 26)",200.0,-68.139367
20,"(3, 26)","(3, 26)",10.0,1.601239
21,"(3, 26)","(3, 26)",20.0,1.501239
22,"(3, 26)","(3, 27)",30.0,1.401239
23,"(3, 26)","(3, 27)",40.0,1.301239
24,"(3, 26)","(3, 28)",50.0,1.201239
25,"(3, 26)","(3, 29)",60.0,1.101239
26,"(3, 26)","(3, 30)",70.0,1.001239
27,"(3, 26)","(3, 31)",80.0,0.901239
28,"(3, 26)","(3, 31)",90.0,0.801239
29,"(3, 26)","(3, 26)",100.0,0.701239
30,"(3, 26)","(3, 26)",110.0,0.601239
31,"(3, 26)","(3, 26)",120.0,0.501239
32,"(3, 26)","(3, 26)",130.0,0.401239
33,"(3, 26)","(3, 26)",140.0,0.301239
34,"(3, 26)","(3, 26)",150.0,0.201239
35,"(3, 26)","(3, 26)",160.0,0.101239
36,"(3, 26)","(3, 26)",170.0,0.001239
37,"(3, 26)","(3, 26)",180.0,-0.098761
38,"(3, 26)","(3, 26)",190.0,-0.198761
39,"(3, 26)","(3, 26)",200.0,-0.298761
40,"(3, 27)","(3, 26)",10.0,1.343618
41,"(3, 27)","(3, 26)",20.0,1.380692
42,"(3, 27)","(3, 27)",30.0,1.41777
43,"(3, 27)","(3, 27)",40.0,1.45485
44,"(3, 27)","(3, 28)",50.0,1.491931
45,"(3, 27)","(3, 29)",60.0,1.529013
46,"(3, 27)","(3, 30)",70.0,1.566095
47,"(3, 27)","(3, 31)",80.0,1.603177
48,"(3, 27)","(3, 31)",90.0,1.64026
49,"(3, 27)","(3, 26)",100.0,1.677343
50,"(3, 27)","(3, 26)",110.0,1.714426
51,"(3, 27)","(3, 26)",120.0,1.75151
52,"(3, 27)","(3, 26)",130.0,1.788593
53,"(3, 27)","(3, 26)",140.0,1.825676
54,"(3, 27)","(3, 26)",150.0,1.86276
55,"(3, 27)","(3, 26)",160.0,1.899843
56,"(3, 27)","(3, 26)",170.0,1.936927
57,"(3, 27)","(3, 26)",180.0,1.905593
58,"(3, 27)","(3, 26)",190.0,1.805593
59,"(3, 27)","(3, 26)",200.0,1.705593
60,"(3, 27)","(3, 26)",10.0,1.360514
61,"(3, 27)","(3, 26)",20.0,1.489869
62,"(3, 27)","(3, 27)",30.0,1.619227
