,state,state_p,act,r_disp
0,"(0.0, 0.0)","(0.000101, 2.86)",10.0,1.004346
1,"(0.0, 0.0)","(0.0001, 2.86)",20.0,0.999346
2,"(0.0, 0.0)","(9.9e-05, 2.86)",30.0,0.994346
3,"(0.0, 0.0)","(9.8e-05, 2.86)",40.0,0.989346
4,"(0.0, 0.0)","(9.6e-05, 2.86)",50.0,0.984346
5,"(0.0, 0.0)","(9.5e-05, 2.86)",60.0,0.979346
6,"(0.0, 0.0)","(9.5e-05, 2.86)",70.0,-1.072037
7,"(0.0, 0.0)","(9.7e-05, 2.86)",80.0,-1.123333
8,"(0.0, 0.0)","(9.9e-05, 2.86)",90.0,-1.16537
9,"(0.0, 0.0)","(0.000101, 2.86)",100.0,-1.216667
10,"(0.0, 0.0)","(0.000104, 2.86)",110.0,-1.267963
11,"(0.0, 0.0)","(0.000108, 2.86)",120.0,-1.31
12,"(0.0, 0.0)","(0.000111, 2.86)",130.0,-1.352037
13,"(0.0, 0.0)","(0.000115, 2.86)",140.0,-1.394074
14,"(0.0, 0.0)","(0.00012, 2.86)",150.0,-1.436111
15,"(0.0, 0.0)","(0.000124, 2.86)",160.0,-1.478148
16,"(0.0, 0.0)","(0.000129, 2.86)",170.0,-1.520185
17,"(0.0, 0.0)","(0.000134, 2.86)",180.0,-1.552963
18,"(0.0, 0.0)","(0.000139, 2.86)",190.0,-1.595
19,"(0.0, 0.0)","(0.000144, 2.86)",200.0,-1.627778
20,"(0.000144, 2.86)","(3.9e-05, 3.08)",10.0,1.118656
21,"(0.000144, 2.86)","(3.8e-05, 3.08)",20.0,1.198092
22,"(0.000144, 2.86)","(3.5e-05, 3.08)",30.0,1.283137
23,"(0.000144, 2.86)","(3.1e-05, 3.08)",40.0,1.346013
24,"(0.000144, 2.86)","(2.5e-05, 3.08)",50.0,1.396769
25,"(0.000144, 2.86)","(1.9e-05, 3.08)",60.0,1.411379
26,"(0.000144, 2.86)","(1.3e-05, 3.08)",70.0,1.386769
27,"(0.000144, 2.86)","(7e-06, 3.08)",80.0,1.353333
28,"(0.000144, 2.86)","(3e-06, 3.08)",90.0,1.312143
29,"(0.000144, 2.86)","(1e-06, 3.08)",100.0,1.264465
30,"(0.000144, 2.86)","(4e-06, 3.08)",110.0,1.227209
31,"(0.000144, 2.86)","(7e-06, 3.08)",120.0,1.191497
32,"(0.000144, 2.86)","(1.1e-05, 3.08)",130.0,1.157222
33,"(0.000144, 2.86)","(1.4e-05, 3.08)",140.0,1.131149
34,"(0.000144, 2.86)","(1.7e-05, 3.08)",150.0,1.105791
35,"(0.000144, 2.86)","(2e-05, 3.08)",160.0,1.087598
36,"(0.000144, 2.86)","(2.3e-05, 3.08)",170.0,1.063352
37,"(0.000144, 2.86)","(2.6e-05, 3.08)",180.0,1.04587
38,"(0.000144, 2.86)","(2.9e-05, 3.08)",190.0,1.03473
39,"(0.000144, 2.86)","(3.3e-05, 3.08)",200.0,1.017647
40,"(9.9e-05, 2.86)","(4e-05, 3.08)",10.0,1.08305
41,"(9.9e-05, 2.86)","(3.8e-05, 3.08)",20.0,1.128158
42,"(9.9e-05, 2.86)","(3.5e-05, 3.08)",30.0,1.169932
43,"(9.9e-05, 2.86)","(3.1e-05, 3.08)",40.0,1.18979
44,"(9.9e-05, 2.86)","(2.5e-05, 3.08)",50.0,1.19331
45,"(9.9e-05, 2.86)","(1.9e-05, 3.08)",60.0,1.18831
46,"(9.9e-05, 2.86)","(1.3e-05, 3.08)",70.0,1.166389
47,"(9.9e-05, 2.86)","(7e-06, 3.08)",80.0,1.136871
48,"(9.9e-05, 2.86)","(3e-06, 3.08)",90.0,1.108333
49,"(9.9e-05, 2.86)","(1e-06, 3.08)",100.0,1.073377
50,"(9.9e-05, 2.86)","(4e-06, 3.08)",110.0,1.039937
51,"(9.9e-05, 2.86)","(7e-06, 3.08)",120.0,1.007901
52,"(9.9e-05, 2.86)","(1.1e-05, 3.08)",130.0,0.983485
53,"(9.9e-05, 2.86)","(1.4e-05, 3.08)",140.0,0.959762
54,"(9.9e-05, 2.86)","(1.7e-05, 3.08)",150.0,0.936696
55,"(9.9e-05, 2.86)","(2e-05, 3.08)",160.0,-0.08
56,"(9.9e-05, 2.86)","(2.3e-05, 3.08)",170.0,-1.102341
57,"(9.9e-05, 2.86)","(2.6e-05, 3.08)",180.0,-1.118902
58,"(9.9e-05, 2.86)","(2.9e-05, 3.08)",190.0,-1.135462
59,"(9.9e-05, 2.86)","(3.3e-05, 3.08)",200.0,-1.146243
60,"(9.5e-05, 2.86)","(4e-05, 3.08)",10.0,1.078333
61,"(9.5e-05, 2.86)","(3.8e-05, 3.08)",20.0,1.131892
62,"(9.5e-05, 2.86)","(3.5e-05, 3.08)",30.0,1.158611
63,"(9.5e-05, 2.86)","(3.1e-05, 3.08)",40.0,1.187143
64,"(9.5e-05, 2.86)","(2.5e-05, 3.08)",50.0,1.190827
65,"(9.5e-05, 2.86)","(1.9e-05, 3.08)",60.0,1.177143
66,"(9.5e-05, 2.86)","(1.3e-05, 3.08)",70.0,1.155141
