,state,state_p,act,r_vel
0,"(0.0, 2.86)","(5e-06, 3.08)",10.0,-0.005
1,"(0.0, 2.86)","(1.8e-05, 3.08)",20.0,-0.01
2,"(0.0, 2.86)","(2.5e-05, 3.08)",30.0,-0.015
3,"(0.0, 2.86)","(2.6e-05, 3.08)",40.0,-0.02
4,"(0.0, 2.86)","(2.2e-05, 3.08)",50.0,-1.053169
5,"(0.0, 2.86)","(1.4e-05, 3.08)",60.0,-1.142676
6,"(0.0, 2.86)","(4e-06, 3.08)",70.0,-1.232183
7,"(0.0, 2.86)","(2e-06, 3.08)",80.0,-1.32169
8,"(0.0, 2.86)","(7e-06, 3.08)",90.0,-1.404155
9,"(0.0, 2.86)","(1.2e-05, 3.08)",100.0,-1.48662
10,"(0.0, 2.86)","(1.8e-05, 3.08)",110.0,-1.562042
11,"(0.0, 2.86)","(2.2e-05, 3.08)",120.0,-1.637465
12,"(0.0, 2.86)","(2.6e-05, 3.08)",130.0,-1.705845
13,"(0.0, 2.86)","(3e-05, 3.08)",140.0,-1.774225
14,"(0.0, 2.86)","(3.5e-05, 3.08)",150.0,-1.842606
15,"(0.0, 2.86)","(3.8e-05, 3.08)",160.0,-1.910986
16,"(0.0, 2.86)","(4.1e-05, 3.08)",170.0,-1.972324
17,"(0.0, 2.86)","(4.4e-05, 3.08)",180.0,-2.040704
18,"(0.0, 2.86)","(4.7e-05, 3.08)",190.0,-2.102042
19,"(0.0, 2.86)","(5e-05, 3.08)",200.0,-2.16338
20,"(4.4e-05, 3.08)","(9.4e-05, 2.508)",10.0,1.12689
21,"(4.4e-05, 3.08)","(0.00011, 2.508)",20.0,1.273482
22,"(4.4e-05, 3.08)","(0.000124, 2.508)",30.0,1.440696
23,"(4.4e-05, 3.08)","(0.000135, 2.508)",40.0,1.595169
24,"(4.4e-05, 3.08)","(0.00014, 2.508)",50.0,1.755186
25,"(4.4e-05, 3.08)","(0.000138, 2.508)",60.0,1.912568
26,"(4.4e-05, 3.08)","(0.000129, 2.508)",70.0,2.048333
27,"(4.4e-05, 3.08)","(0.000112, 2.508)",80.0,2.066227
28,"(4.4e-05, 3.08)","(9.3e-05, 2.508)",90.0,2.038333
29,"(4.4e-05, 3.08)","(8e-05, 2.508)",100.0,1.974648
30,"(4.4e-05, 3.08)","(7.9e-05, 2.508)",110.0,1.914178
31,"(4.4e-05, 3.08)","(7.8e-05, 2.508)",120.0,1.856667
32,"(4.4e-05, 3.08)","(7.6e-05, 2.508)",130.0,1.801883
33,"(4.4e-05, 3.08)","(7.6e-05, 2.508)",140.0,1.755397
34,"(4.4e-05, 3.08)","(7.5e-05, 2.508)",150.0,1.716277
35,"(4.4e-05, 3.08)","(7.4e-05, 2.508)",160.0,1.66772
36,"(4.4e-05, 3.08)","(7.3e-05, 2.508)",170.0,1.641727
37,"(4.4e-05, 3.08)","(7.3e-05, 2.508)",180.0,1.601176
38,"(4.4e-05, 3.08)","(7.3e-05, 2.508)",190.0,1.581385
39,"(4.4e-05, 3.08)","(7.2e-05, 2.508)",200.0,1.552299
40,"(5e-06, 3.08)","(9.4e-05, 2.508)",10.0,1.105577
41,"(5e-06, 3.08)","(0.00011, 2.508)",20.0,1.222
42,"(5e-06, 3.08)","(0.000124, 2.508)",30.0,1.364104
43,"(5e-06, 3.08)","(0.000135, 2.508)",40.0,1.470323
44,"(5e-06, 3.08)","(0.00014, 2.508)",50.0,1.613298
45,"(5e-06, 3.08)","(0.000138, 2.508)",60.0,1.674797
46,"(5e-06, 3.08)","(0.000129, 2.508)",70.0,1.715
47,"(5e-06, 3.08)","(0.000112, 2.508)",80.0,1.71
48,"(5e-06, 3.08)","(9.3e-05, 2.508)",90.0,1.678881
49,"(5e-06, 3.08)","(8e-05, 2.508)",100.0,1.63
50,"(5e-06, 3.08)","(7.9e-05, 2.508)",110.0,1.595
51,"(5e-06, 3.08)","(7.8e-05, 2.508)",120.0,1.544167
52,"(5e-06, 3.08)","(7.6e-05, 2.508)",130.0,1.495811
53,"(5e-06, 3.08)","(7.6e-05, 2.508)",140.0,1.454752
54,"(5e-06, 3.08)","(7.5e-05, 2.508)",150.0,1.425
55,"(5e-06, 3.08)","(7.4e-05, 2.508)",160.0,1.391338
56,"(5e-06, 3.08)","(7.3e-05, 2.508)",170.0,1.354252
57,"(5e-06, 3.08)","(7.3e-05, 2.508)",180.0,1.327178
58,"(5e-06, 3.08)","(7.3e-05, 2.508)",190.0,1.30077
59,"(5e-06, 3.08)","(7.2e-05, 2.508)",200.0,1.279104
60,"(1.8e-05, 3.08)","(9.4e-05, 2.508)",10.0,1.105577
61,"(1.8e-05, 3.08)","(0.00011, 2.508)",20.0,1.225294
62,"(1.8e-05, 3.08)","(0.000124, 2.508)",30.0,1.339839
63,"(1.8e-05, 3.08)","(0.000135, 2.508)",40.0,1.475146
64,"(1.8e-05, 3.08)","(0.00014, 2.508)",50.0,1.579167
65,"(1.8e-05, 3.08)","(0.000138, 2.508)",60.0,1.643913
66,"(1.8e-05, 3.08)","(0.000129, 2.508)",70.0,1.688881
67,"(1.8e-05, 3.08)","(0.000112, 2.508)",80.0,1.690337
68,"(1.8e-05, 3.08)","(9.3e-05, 2.508)",90.0,1.659797
69,"(1.8e-05, 3.08)","(8e-05, 2.508)",100.0,1.636131
70,"(1.8e-05, 3.08)","(7.9e-05, 2.508)",110.0,1.583298
71,"(1.8e-05, 3.08)","(7.8e-05, 2.508)",120.0,1.533103
72,"(1.8e-05, 3.08)","(7.6e-05, 2.508)",130.0,1.501102
73,"(1.8e-05, 3.08)","(7.6e-05, 2.508)",140.0,1.459801
74,"(1.8e-05, 3.08)","(7.5e-05, 2.508)",150.0,1.420146
