s,a,r,sp
126,1,-0.100034,127
126,2,-0.200068,127
126,3,-0.300102,127
126,4,-0.400135,126
126,5,-0.500169,126
126,6,-5.0993,126
126,7,-10.492915,126
126,8,-15.707677,126
126,9,-20.707257,126
126,10,-25.523455,126
126,11,-30.182116,126
126,12,-34.703481,126
126,13,-39.121873,126
126,14,-43.449105,126
126,15,-47.702948,126
126,16,-51.895406,126
126,17,-56.032191,126
126,18,-60.120751,126
126,19,-64.147331,126
126,20,-68.139367,126
126,1,1.601239,126
126,2,1.501239,126
126,3,1.401239,127
126,4,1.301239,127
126,5,1.201239,128
126,6,1.101239,129
126,7,1.001239,130
126,8,0.901239,131
126,9,0.801239,131
126,10,0.701239,126
126,11,0.601239,126
126,12,0.501239,126
126,13,0.401239,126
126,14,0.301239,126
126,15,0.201239,126
126,16,0.101239,126
126,17,0.001239,126
126,18,-0.098761,126
126,19,-0.198761,126
126,20,-0.298761,126
127,1,1.343618,126
127,2,1.380692,126
127,3,1.41777,127
127,4,1.45485,127
127,5,1.491931,128
127,6,1.529013,129
127,7,1.566095,130
127,8,1.603177,131
127,9,1.64026,131
127,10,1.677343,126
127,11,1.714426,126
127,12,1.75151,126
127,13,1.788593,126
127,14,1.825676,126
127,15,1.86276,126
127,16,1.899843,126
127,17,1.936927,126
127,18,1.905593,126
127,19,1.805593,126
127,20,1.705593,126
127,1,1.360514,126
127,2,1.489869,126
127,3,1.619227,127
127,4,1.667328,127
127,5,1.567328,128
127,6,1.467328,129
127,7,1.367328,130
127,8,1.267328,131
127,9,1.167328,131
127,10,1.067328,126
127,11,0.967328,126
127,12,0.867328,126
127,13,0.767328,126
127,14,0.667328,126
127,15,0.567328,126
127,16,0.467328,126
127,17,0.367328,126
127,18,0.267328,126
127,19,0.167328,126
127,20,0.067328,126
129,1,-0.1,126
129,2,-0.2,126
129,3,-0.3,126
129,4,-0.4,125
129,5,-0.5,125
129,6,-0.6,125
129,7,-0.7,125
129,8,-1.196712,125
129,9,-5.666299,126
129,10,-10.030518,126
129,11,-14.241054,126
129,12,-18.360511,126
129,13,-22.344822,126
129,14,-26.218313,126
129,15,-30.016314,126
129,16,-33.765585,126
129,17,-37.441327,126
129,18,-41.06507,126
129,19,-44.644133,126
129,20,-48.205712,126
127,1,-0.1,126
127,2,-0.2,126
127,3,-0.3,126
127,4,-0.4,125
127,5,-0.5,125
127,6,-0.6,125
127,7,-0.7,125
127,8,-0.8,125
127,9,-0.9,126
127,10,-1.0,126
127,11,-1.408877,126
127,12,-5.527677,126
127,13,-9.511362,126
127,14,-13.384405,126
127,15,-17.184753,126
127,16,-20.93403,126
127,17,-24.609766,126
127,18,-28.233509,126
127,19,-31.812573,126
127,20,-35.374152,126
126,1,1.036358,126
126,2,0.936358,126
126,3,0.836358,126
126,4,0.353258,125
126,5,-4.466227,125
126,6,-9.17991,125
126,7,-13.843958,125
126,8,-18.438112,125
126,9,-22.909382,126
126,10,-27.273602,126
126,11,-31.491153,126
126,12,-35.592292,126
126,13,-39.567937,126
126,14,-43.454075,126
126,15,-47.259398,126
126,16,-51.008651,126
126,17,-54.684412,126
126,18,-58.308154,126
126,19,-61.887218,126
126,20,-65.448797,126
125,1,-0.1,126
125,2,-0.2,126
125,3,-0.3,126
125,4,-0.4,126
125,5,-0.5,127
125,6,-0.6,127
125,7,-0.7,127
125,8,-0.8,127
125,9,-0.9,127
125,10,-1.0,127
125,11,-1.1,127
125,12,-1.2,127
125,13,-1.3,127
125,14,-1.4,127
125,15,-1.5,127
125,16,-1.6,127
125,17,-1.7,127
125,18,-1.8,127
125,19,-1.9,127
125,20,-2.0,127
126,1,-0.1,126
126,2,-0.2,126
126,3,-0.3,126
126,4,-0.4,126
126,5,-0.5,127
126,6,-0.6,127
126,7,-0.7,127
126,8,-0.8,127
126,9,-0.9,127
126,10,-1.0,127
126,11,-1.1,127
126,12,-1.2,127
126,13,-1.3,127
126,14,-1.4,127
126,15,-1.5,127
