s,a,r,sp
124,1,0.009993,113
124,2,-0.090009,113
124,3,-0.190011,113
124,4,-0.290013,113
124,5,-0.390015,113
124,6,-0.490017,114
124,7,-1.018447,114
124,8,-1.628766,113
124,9,-2.211808,113
124,10,-2.778953,113
124,11,-3.330601,113
124,12,-3.859831,112
124,13,-4.380802,112
124,14,-4.882973,111
124,15,-5.37162,111
124,16,-5.852659,110
124,17,-6.316365,110
124,18,-6.771703,109
124,19,-7.216121,109
124,20,-7.644207,108
109,1,2.070497,128
109,2,3.176016,128
109,3,4.138806,127
109,4,4.763676,127
109,5,5.003949,126
109,6,5.028771,126
109,7,4.84154,125
109,8,4.417787,124
109,9,3.886073,124
109,10,3.330379,124
109,11,2.79041,123
109,12,2.286134,123
109,13,1.822236,123
109,14,1.399146,122
109,15,1.01593,122
109,16,0.631671,122
109,17,0.321606,121
109,18,0.002718,121
109,19,-0.239654,121
109,20,-0.498734,120
113,1,1.393728,128
113,2,2.029842,128
113,3,2.566625,127
113,4,2.738444,127
113,5,2.892415,126
113,6,2.687131,126
113,7,2.384879,125
113,8,1.95451,124
113,9,1.465344,124
113,10,0.962036,124
113,11,0.493181,123
113,12,0.021329,123
113,13,-0.423806,123
113,14,-0.839616,122
113,15,-1.203512,122
113,16,-1.56195,122
113,17,-1.920853,121
113,18,-2.230638,121
113,19,-2.516051,121
113,20,-2.777664,120
113,1,1.307615,128
113,2,1.952082,128
113,3,2.374055,127
113,4,2.673907,127
113,5,2.721387,126
113,6,2.540399,126
113,7,2.264081,125
113,8,1.854821,124
113,9,1.38203,124
113,10,0.919708,124
113,11,0.429559,123
113,12,-0.036597,123
113,13,-0.45446,123
113,14,-0.86655,122
113,15,-1.250007,122
113,16,-1.606182,122
113,17,-1.936935,121
113,18,-2.270902,121
113,19,-2.554528,121
113,20,-2.814524,120
126,1,0.062936,134
126,2,0.089667,134
126,3,0.089308,135
126,4,0.068701,135
126,5,0.031413,135
126,6,-0.017906,135
126,7,-0.077089,135
126,8,-0.143909,134
126,9,-0.217087,134
126,10,-0.295125,134
126,11,-0.74145,134
126,12,-1.282099,134
126,13,-1.779343,134
126,14,-2.263459,134
126,15,-2.73873,135
126,16,-3.23107,135
126,17,-3.686817,135
126,18,-4.131469,135
126,19,-4.568104,136
126,20,-5.01519,136
127,1,0.240626,134
127,2,0.399975,134
127,3,0.498367,135
127,4,0.550356,135
127,5,0.5671,135
127,6,0.557353,135
127,7,0.526837,135
127,8,0.479984,134
127,9,0.421462,134
127,10,0.35314,134
127,11,-0.082235,134
127,12,-0.622883,134
127,13,-1.120128,134
127,14,-1.604244,134
127,15,-2.079515,135
127,16,-2.571855,135
127,17,-3.027602,135
127,18,-3.472254,135
127,19,-3.908888,136
127,20,-4.355975,136
122,1,0.041819,134
122,2,0.056044,134
122,3,0.053556,135
122,4,0.045023,135
122,5,0.056219,135
