s,a,r,sp
1046,1,-0.005,1066
1046,2,-0.01,1066
1046,3,-0.015,1046
1046,4,-0.02,1046
1046,5,-0.025,1046
1046,6,-1.163929,1026
1046,7,-1.326667,1026
1046,8,-1.483452,1026
1046,9,-1.634286,1026
1046,10,-1.782143,1026
1046,11,-1.921071,1026
1046,12,-2.057024,1026
1046,13,-2.192976,1026
1046,14,-2.322976,1026
1046,15,-2.45,1026
1046,16,-2.577024,1026
1046,17,-2.704048,1026
1046,18,-2.828095,1026
1046,19,-2.949167,1026
1046,20,-3.070238,1026
1026,1,1.00385,1025
1026,2,0.99885,1045
1026,3,0.99385,1065
1026,4,0.98885,1085
1026,5,0.98385,1105
1026,6,0.97885,1145
1026,7,0.97385,1185
1026,8,0.96885,1205
1026,9,0.96385,1225
1026,10,0.95885,1045
1026,11,0.95385,1045
1026,12,0.94885,1045
1026,13,0.94385,1045
1026,14,0.93885,1045
1026,15,0.93385,1045
1026,16,0.92885,1045
1026,17,0.92385,1045
1026,18,0.91885,1045
1026,19,0.91385,1045
1026,20,0.90885,1045
1066,1,1.004466,1025
1066,2,1.000833,1045
1066,3,0.996518,1065
1066,4,0.992203,1085
1066,5,0.988578,1105
1066,6,0.984266,1145
1066,7,0.980646,1185
1066,8,0.976338,1205
1066,9,0.97203,1225
1066,10,0.968417,1045
1066,11,0.964113,1045
1066,12,0.959809,1045
1066,13,0.956204,1045
1066,14,0.951903,1045
1066,15,0.948304,1045
1066,16,0.944005,1045
1066,17,0.939708,1045
1066,18,0.935412,1045
1066,19,0.930412,1045
1066,20,0.925412,1045
1066,1,1.004453,1025
1066,2,1.001502,1045
1066,3,0.997873,1065
1066,4,0.993559,1085
1066,5,0.988559,1105
1066,6,0.983559,1145
1066,7,0.978559,1185
1066,8,0.973559,1205
1066,9,0.968559,1225
1066,10,0.963559,1045
1066,11,0.958559,1045
1066,12,0.953559,1045
1066,13,0.948559,1045
1066,14,0.943559,1045
1066,15,0.938559,1045
1066,16,0.933559,1045
1066,17,0.928559,1045
1066,18,0.923559,1045
1066,19,0.918559,1045
1066,20,0.913559,1045
1145,1,-0.005,1026
1145,2,-0.01,1026
1145,3,-0.015,1006
1145,4,-0.02,1006
1145,5,-0.025,1006
1145,6,-0.03,1006
1145,7,-0.035,1006
1145,8,-1.04978,1006
1145,9,-1.162359,1006
1145,10,-1.270049,1026
1145,11,-1.375293,1026
1145,12,-1.480538,1026
1145,13,-1.580892,1026
1145,14,-1.676357,1026
1145,15,-1.771822,1026
1145,16,-1.867286,1046
1145,17,-1.957861,1046
1145,18,-2.05088,1046
1145,19,-2.141455,1046
1145,20,-2.229584,1046
1085,1,-0.005,1026
1085,2,-0.01,1026
1085,3,-0.015,1006
1085,4,-0.02,1006
1085,5,-0.025,1006
1085,6,-0.03,1006
1085,7,-0.035,1006
1085,8,-0.04,1006
1085,9,-0.045,1006
1085,10,-0.05,1026
1085,11,-1.060587,1026
1085,12,-1.141937,1026
1085,13,-1.2177,1026
1085,14,-1.293464,1026
1085,15,-1.367365,1026
1085,16,-1.441266,1046
1085,17,-1.511443,1046
1085,18,-1.583482,1046
1085,19,-1.653659,1046
1085,20,-1.721974,1046
1045,1,1.048333,1026
1045,2,1.043333,1026
1045,3,1.038333,1006
1045,4,1.014934,1006
1045,5,-1.189557,1006
1045,6,-1.38865,1006
1045,7,-1.587743,1006
1045,8,-1.782616,1006
1045,9,-1.97327,1006
1045,10,-2.155485,1026
1045,11,-2.3377,1026
1045,12,-2.511477,1026
1045,13,-2.676814,1026
1045,14,-2.842152,1026
1045,15,-3.00327,1026
1045,16,-3.164388,1046
1045,17,-3.317068,1046
1045,18,-3.473966,1046
1045,19,-3.626646,1046
1045,20,-3.775105,1046
1006,1,-0.005,1046
1006,2,-0.01,1046
1006,3,-0.015,1046
1006,4,-0.02,1046
1006,5,-0.025,1046
1006,6,-0.03,1046
1006,7,-0.035,1046
1006,8,-0.04,1046
1006,9,-0.045,1046
1006,10,-0.05,1046
1006,11,-0.055,1046
1006,12,-0.06,1046
1006,13,-0.065,1046
1006,14,-0.07,1046
1006,15,-0.075,1046
1006,16,-0.08,1046
1006,17,-0.085,1046
1006,18,-0.09,1046
1006,19,-0.095,1046
1006,20,-0.1,1046
1046,1,-0.005,1046
1046,2,-0.01,1046
1046,6,-0.03,1046
1046,7,-0.035,1046
1046,8,-0.04,1046
1046,9,-0.045,1046
1046,10,-0.05,1046
1046,11,-0.055,1046
1046,12,-0.06,1046
1046,13,-0.065,1046
1046,14,-0.07,1046
1046,15,-0.075,1046
1046,16,-0.08,1046
1046,17,-0.085,1046
1046,18,-0.09,1046
1046,19,-0.095,1046
1046,20,-0.1,1046
1026,1,-0.005,1046
1026,2,-0.01,1046
1026,3,-0.015,1046
1026,4,-0.02,1046
1026,5,-0.025,1046
1026,6,-0.03,1046
1026,7,-0.035,1046
1026,8,-0.04,1046
1026,9,-0.045,1046
1026,10,-0.05,1046
1026,11,-0.055,1046
1026,12,-0.06,1046
1026,13,-0.065,1046
1026,14,-0.07,1046
1026,15,-0.075,1046
1026,16,-0.08,1046
1026,17,-0.085,1046
1026,18,-0.09,1046
1026,19,-0.095,1046
1026,20,-0.1,1046
1046,1,1.018499,1004
1046,2,1.013499,1024
1046,3,1.008499,1024
1046,4,1.003499,1044
1046,5,0.998499,1044
1046,6,0.993499,1044
1046,7,0.988499,1044
1046,8,0.983499,1044
1046,9,0.978499,1044
1046,10,0.973499,1044
1046,11,0.950128,1044
1046,12,-1.098265,1064
1046,13,-1.146633,1064
1046,14,-1.193724,1064
1046,15,-1.25102,1064
1046,16,-1.314694,1064
1046,17,-1.378367,1064
1046,18,-1.440765,1064
1046,19,-1.501888,1064
1046,20,-1.560459,1044
1046,1,1.030514,1004
1046,2,1.047252,1024
1046,3,1.036233,1024
1046,4,1.017453,1044
1046,5,0.982273,1044
1046,6,-1.058881,1044
1046,7,-1.109007,1044
1046,8,-1.162744,1044
1046,9,-1.218285,1044
1046,10,-1.275632,1044
