s,a,r,sp
946,1,-0.005,926
946,2,-0.01,926
946,3,-0.015,906
946,4,-0.02,906
946,5,-1.053169,906
946,6,-1.142676,926
946,7,-1.232183,946
946,8,-1.32169,946
946,9,-1.404155,946
946,10,-1.48662,966
946,11,-1.562042,966
946,12,-1.637465,966
946,13,-1.705845,986
946,14,-1.774225,986
946,15,-1.842606,986
946,16,-1.910986,1006
946,17,-1.972324,1006
946,18,-2.040704,1006
946,19,-2.102042,1006
946,20,-2.16338,1006
1006,1,1.12689,1085
1006,2,1.273482,1105
1006,3,1.440696,1125
1006,4,1.595169,1145
1006,5,1.755186,1145
1006,6,1.912568,1145
1006,7,2.048333,1125
1006,8,2.066227,1105
1006,9,2.038333,1085
1006,10,1.974648,1065
1006,11,1.914178,1065
1006,12,1.856667,1045
1006,13,1.801883,1045
1006,14,1.755397,1045
1006,15,1.716277,1045
1006,16,1.66772,1045
1006,17,1.641727,1045
1006,18,1.601176,1045
1006,19,1.581385,1045
1006,20,1.552299,1045
926,1,1.105577,1085
926,2,1.222,1105
926,3,1.364104,1125
926,4,1.470323,1145
926,5,1.613298,1145
926,6,1.674797,1145
926,7,1.715,1125
926,8,1.71,1105
926,9,1.678881,1085
926,10,1.63,1065
926,11,1.595,1065
926,12,1.544167,1045
926,13,1.495811,1045
926,14,1.454752,1045
926,15,1.425,1045
926,16,1.391338,1045
926,17,1.354252,1045
926,18,1.327178,1045
926,19,1.30077,1045
926,20,1.279104,1045
926,2,1.225294,1105
926,3,1.339839,1125
926,4,1.475146,1145
926,5,1.579167,1145
926,6,1.643913,1145
926,7,1.688881,1125
926,8,1.690337,1105
926,9,1.659797,1085
926,10,1.636131,1065
926,11,1.583298,1065
926,12,1.533103,1045
926,13,1.501102,1045
926,14,1.459801,1045
926,15,1.420146,1045
926,16,1.386667,1045
926,17,1.35875,1045
926,18,1.322844,1045
1145,1,1.045725,906
1145,2,1.040725,886
1145,3,1.035725,886
1145,4,1.030725,886
1145,5,1.025725,906
1145,6,1.005714,906
1145,7,-1.076379,926
1145,8,-1.150345,926
1145,9,-1.231207,926
1145,10,-1.298276,926
1145,11,-1.372241,926
1145,12,-1.43931,926
1145,13,-1.506379,926
1145,14,-1.573448,926
1145,15,-1.633621,926
1145,16,-1.693793,926
1145,17,-1.753966,906
1145,18,-1.814138,906
1145,19,-1.87431,906
1145,20,-1.927586,906
1145,1,1.084172,906
1145,2,1.161233,886
1145,3,1.22413,886
1145,4,1.265714,886
1145,5,1.260714,906
1145,6,1.191429,906
1145,7,1.09745,926
1145,8,1.022112,926
1145,9,-1.050848,926
1145,10,-1.10848,926
1145,11,-1.171959,926
1145,12,-1.229591,926
1145,13,-1.287222,926
1145,14,-1.344854,926
1145,15,-1.396637,926
1145,16,-1.448421,926
1145,17,-1.500205,906
1145,18,-1.551988,906
1145,19,-1.603772,906
1145,20,-1.649708,906
1045,1,1.036667,906
1045,2,1.058376,886
1045,3,1.062586,886
1045,4,1.048376,886
1045,5,-1.057,906
1045,6,-1.15,906
1045,7,-1.243,926
1045,8,-1.328,926
1045,9,-1.421,926
1045,10,-1.498,926
1045,11,-1.583,926
1045,12,-1.66,926
1045,13,-1.737,926
1045,14,-1.814,926
1045,15,-1.883,926
1045,16,-1.952,926
1045,17,-2.021,906
1045,18,-2.09,906
1045,19,-2.159,906
1045,20,-2.22,906
926,1,1.187201,1066
926,2,1.402541,1066
926,3,1.656875,1046
926,4,1.916652,1046
926,5,2.181186,1046
926,6,2.401818,1046
926,7,2.369494,1046
926,8,2.212632,1026
926,9,2.084353,1026
926,10,1.968868,1026
926,11,1.872928,1026
926,12,1.784828,1026
926,13,1.703595,1026
926,14,1.635179,1026
926,15,1.571154,1026
926,16,1.511078,1026
926,17,1.454568,1026
926,18,1.406503,1026
926,19,1.355847,1026
926,20,1.312541,1026
906,1,1.197667,1066
906,2,1.412713,1066
906,3,1.686887,1046
906,4,1.95807,1046
906,5,2.175,1046
906,6,2.356243,1046
906,7,2.498708,1046
906,8,2.333684,1026
906,9,2.198781,1026
906,10,2.077358,1026
906,11,1.976532,1026
906,12,1.883966,1026
906,13,1.798636,1026
906,14,1.726813,1026
906,15,1.659615,1026
906,16,1.59658,1026
906,17,1.537302,1026
906,18,1.486923,1026
906,19,1.433814,1026
906,20,1.388449,1026
926,1,1.18232,1066
926,2,1.391361,1066
926,3,1.633,1046
926,4,1.878618,1046
926,5,2.132068,1046
926,6,2.379357,1046
926,7,2.279607,1046
926,8,2.128421,1026
926,9,2.004751,1026
926,10,1.893396,1026
926,11,1.800856,1026
926,12,1.715862,1026
926,13,1.637479,1026
926,14,1.571434,1026
926,15,1.509615,1026
926,16,1.451599,1026
926,17,1.397014,1026
926,18,1.350559,1026
926,19,1.30161,1026
926,20,1.259736,1026
1046,1,1.075153,924
1046,2,1.145102,944
1046,3,1.204828,944
1046,4,1.243393,944
1046,5,1.267237,944
1046,6,1.250543,924
1046,7,1.228393,924
1046,8,1.195808,904
1046,9,1.159255,904
1046,10,1.119421,904
1046,11,1.077,884
1046,12,1.045469,884
1046,13,1.015153,884
1046,14,0.982045,864
1046,15,0.942986,864
1046,16,-1.094134,864
1046,17,-1.130936,864
1046,18,-1.167739,844
1046,19,-1.201007,844
1046,20,-1.230742,844
986,1,1.033278,924
986,2,1.053725,944
986,3,1.059257,944
986,4,1.054257,944
986,5,1.043966,944
986,6,1.023398,924
986,7,0.993436,924
986,8,0.96463,904
986,9,-1.063433,904
986,10,-1.096083,904
986,11,-1.151774,884
986,12,-1.202857,884
986,13,-1.25394,884
986,14,-1.305023,864
986,15,-1.356106,864
986,16,-1.402581,864
986,17,-1.449055,864
986,18,-1.49553,844
986,19,-1.537396,844
986,20,-1.574654,844
1026,1,1.101557,924
1026,2,1.213565,944
1026,3,1.317237,944
1026,4,1.426429,944
1026,5,1.503302,944
1026,6,1.539767,924
1026,7,1.559488,924
1026,8,1.523707,904
1026,9,1.489091,904
1026,10,1.45,904
1026,11,1.407094,884
1026,12,1.361053,884
1026,13,1.321986,884
1026,14,1.28906,864
1026,15,1.257237,864
1026,16,1.222251,864
1026,17,1.196646,864
1026,18,1.167764,844
1026,19,1.147331,844
1026,20,1.123565,844
944,1,1.203202,986
944,2,1.42985,986
944,3,1.702489,966
944,4,1.964456,986
944,5,2.138842,986
944,6,2.305366,986
944,7,2.484737,986
944,8,2.657183,986
944,9,2.52547,986
944,10,2.374051,986
944,11,2.238413,966
944,12,2.128571,966
944,13,2.016522,966
944,14,1.924792,966
944,15,1.84,966
944,16,1.770242,966
944,17,1.696395,966
944,18,1.635225,966
944,19,1.577489,966
