s,a,r,sp
1,1,-0.005,77503
1,2,-0.01,135163
1,3,-0.015,67583
1,4,-0.02,45263
1,5,-0.025,7908
1,6,-1.163929,119353
1,7,-1.326667,1243
1,8,-1.483452,132683
1,9,-1.634286,97963
1,10,-1.782143,126328
1,11,-1.921071,134078
1,12,-2.057024,67583
1,13,-2.192976,2328
1,14,-2.322976,120903
1,15,-2.45,53788
1,16,-2.577024,53788
1,17,-2.704048,32088
1,18,-2.828095,11318
1,19,-2.949167,32088
1,20,-3.070238,32088
32088,1,1.00324,45264
32088,2,0.99824,51154
32088,3,0.99324,60764
32088,4,0.98824,44334
32088,5,0.98324,5894
32088,6,0.97824,4809
32088,7,0.97324,100754
32088,8,0.96824,68049
32088,9,0.96324,132374
32088,10,0.95824,4
32088,11,0.95324,96724
32088,12,0.94824,51154
32088,13,0.94324,28679
32088,14,0.93824,7909
32088,15,0.93324,7909
32088,16,0.92824,7909
32088,17,0.92324,125554
32088,18,0.91824,125554
32088,19,0.91324,125554
32088,20,0.90824,7909
67583,1,1.005884,45264
67583,2,1.000884,51154
67583,3,0.995884,60764
67583,4,0.990884,44334
67583,5,0.985884,5894
67583,6,0.980884,4809
67583,7,0.975884,100754
67583,8,0.970884,68049
67583,9,0.965884,132374
67583,10,0.960884,4
67583,11,0.955884,96724
67583,12,0.950884,51154
67583,13,0.945884,28679
67583,14,0.940884,7909
67583,15,0.935884,7909
67583,16,0.930884,7909
67583,17,0.925884,125554
67583,18,0.920884,125554
67583,19,0.915884,125554
67583,20,0.910884,7909
119353,1,1.00638,45264
119353,2,1.004265,51154
119353,3,0.999265,60764
119353,4,0.994265,44334
119353,5,0.989265,5894
119353,6,0.984265,4809
119353,7,0.979265,100754
119353,8,0.974265,68049
119353,9,0.969265,132374
119353,10,0.964265,4
119353,11,0.959265,96724
119353,12,0.954265,51154
119353,13,0.949265,28679
119353,14,0.944265,7909
119353,15,0.939265,7909
119353,16,0.934265,7909
119353,17,0.929265,125554
119353,18,0.924265,125554
119353,19,0.919265,125554
119353,20,0.914265,7909
7909,1,1.064892,32090
7909,2,1.095556,122300
7909,3,1.084448,130515
7909,4,-1.170754,80295
7909,5,-1.411935,88355
7909,6,-1.64809,118270
7909,7,-1.884246,470
7909,8,-2.115377,80295
7909,9,-2.341482,49140
7909,10,-2.557538,2330
7909,11,-2.773593,105250
7909,12,-2.979598,74095
7909,13,-3.175553,45265
7909,14,-3.371508,132685
7909,15,-3.562437,57820
7909,16,-3.753367,125555
7909,17,-3.934246,51155
7909,18,-4.120151,117805
7909,19,-4.30103,117805
7909,20,-4.476884,72235
68049,1,-0.005,32090
68049,2,-0.01,122300
68049,3,-0.015,130515
68049,4,-0.02,80295
68049,5,-1.199468,88355
68049,6,-1.400213,118270
68049,7,-1.600957,470
68049,8,-1.797447,80295
68049,9,-1.989681,49140
68049,10,-2.173404,2330
68049,11,-2.352872,105250
68049,12,-2.53234,74095
68049,13,-2.699043,45265
68049,14,-2.865745,132685
68049,15,-3.028191,57820
68049,16,-3.190638,125555
68049,17,-3.344574,51155
68049,18,-3.502766,117805
68049,19,-3.656702,117805
68049,20,-3.806383,72235
60764,1,-0.005,11320
60764,2,-0.01,122300
60764,3,-0.015,130515
60764,4,-0.02,80295
60764,5,-0.025,88355
60764,6,-0.03,118270
60764,7,-0.035,470
60764,8,-0.04,80295
60764,9,-0.045,49140
60764,10,-0.05,2330
60764,11,-0.055,105250
60764,12,-1.073962,74095
60764,13,-1.145279,45265
60764,14,-1.216597,132685
60764,15,-1.286169,57820
60764,16,-1.355742,125555
60764,17,-1.421824,51155
60764,18,-1.489651,117805
60764,19,-1.555733,117805
60764,20,-1.62007,72235
32090,1,1.004455,117806
32090,2,0.999455,51156
32090,3,0.994455,96726
32090,4,0.989455,111606
32090,5,0.984455,126331
32090,6,0.979455,46816
32090,7,0.974455,75801
32090,8,0.969455,53791
32090,9,0.964455,53791
32090,10,0.959455,75801
32090,11,0.954455,120906
32090,12,0.949455,2331
32090,13,0.944455,46816
32090,14,0.939455,112846
32090,15,0.934455,16901
32090,16,0.929455,59061
32090,17,0.924455,105251
32090,18,0.919455,9771
32090,19,0.914455,52551
32090,20,0.909455,74096
88355,1,-0.005,117806
88355,2,-0.01,51156
88355,3,-0.015,96726
88355,4,-0.02,111606
88355,5,-0.025,126331
88355,6,-0.03,46816
88355,7,-0.035,75801
88355,8,-0.04,53791
88355,9,-0.045,53791
88355,10,-0.05,75801
88355,11,-0.055,120906
88355,12,-0.06,2331
88355,13,-0.065,46816
88355,14,-0.07,112846
88355,15,-0.075,16901
88355,16,-0.08,59061
88355,17,-0.085,105251
88355,18,-0.09,9771
88355,19,-0.095,52551
88355,20,-0.1,74096
117805,1,-0.005,117806
117805,2,-0.01,51156
117805,3,-0.015,96726
117805,4,-0.02,111606
117805,5,-0.025,126331
117805,6,-0.03,46816
117805,7,-0.035,75801
