s,a,r,sp
926,1,1.004346,506
926,2,0.999346,506
926,3,0.994346,506
926,4,0.989346,506
926,5,0.984346,526
926,6,0.979346,526
926,7,-1.072037,526
926,8,-1.123333,526
926,9,-1.16537,506
926,10,-1.216667,506
926,11,-1.267963,486
926,12,-1.31,466
926,13,-1.352037,446
926,14,-1.394074,426
926,15,-1.436111,426
926,16,-1.478148,406
926,17,-1.520185,386
926,18,-1.552963,366
926,19,-1.595,346
926,20,-1.627778,306
366,1,1.117905,1105
366,2,1.193593,1085
366,3,1.273462,1085
366,4,1.328993,1065
366,5,1.351712,1045
366,6,1.365833,1005
366,7,1.351207,985
366,8,1.308993,965
366,9,1.268725,945
366,10,1.230255,925
366,11,1.185741,905
366,12,1.150843,905
366,13,1.117353,885
366,14,1.09185,865
366,15,1.067045,865
366,16,1.049213,845
366,17,1.025497,825
366,18,1.008361,825
366,19,0.997391,805
366,20,0.980645,785
506,1,1.08934,1105
506,2,1.142318,1085
506,3,1.185,1085
506,4,1.205352,1065
506,5,1.217857,1045
506,6,1.204043,1005
506,7,1.181783,985
506,8,1.151781,965
506,9,1.115,945
506,10,1.07987,925
506,11,1.046266,905
506,12,1.020745,905
506,13,0.989545,885
506,14,0.965714,865
506,15,0.942544,865
506,16,0.92578,845
506,17,-1.096494,825
506,18,-1.112989,825
506,19,-1.129483,805
506,20,-1.14023,785
506,1,1.08305,1105
506,2,1.128158,1085
506,3,1.161871,1085
506,4,1.18979,1065
506,5,1.20195,1045
506,6,1.18831,1005
506,7,1.166389,985
506,8,1.136871,965
506,9,1.100695,945
506,10,1.073377,925
506,11,1.039937,905
506,12,1.007901,905
506,13,0.983485,885
506,14,0.959762,865
506,15,0.936696,865
506,16,-0.08,845
506,17,-1.102341,825
506,18,-1.118902,825
506,19,-1.135462,805
506,20,-1.152023,785
1005,1,1.011667,1346
1005,2,1.01521,1346
1005,3,1.018898,1366
1005,4,1.022735,1386
1005,5,1.026724,1386
1005,6,1.021724,1386
1005,7,1.02587,1366
1005,8,1.02087,1366
1005,9,1.01587,1366
1005,10,1.01087,1346
1005,11,0.978898,1346
1005,12,-1.068197,1346
1005,13,-1.105984,1366
1005,14,-1.135574,1366
1005,15,-1.173361,1366
1005,16,-1.211148,1386
1005,17,-1.248934,1386
1005,18,-1.278525,1406
1005,19,-1.308115,1406
1005,20,-1.345902,1426
1065,1,1.019,1346
1065,2,1.03918,1346
1065,3,1.051667,1366
1065,4,1.05563,1386
1065,5,1.059746,1386
1065,6,1.064017,1386
