s,a,r,sp
1,1,1.004346,14263
1,2,0.999346,1863
1,3,0.994346,22323
1,4,0.989346,10543
1,5,0.984346,18758
1,6,0.979346,6978
1,7,-1.072037,6978
1,8,-1.123333,31778
1,9,-1.16537,22323
1,10,-1.216667,14263
1,11,-1.267963,17673
1,12,-1.31,623
1,13,-1.352037,4498
1,14,-1.394074,19998
1,15,-1.436111,15503
1,16,-1.478148,31933
1,17,-1.520185,26508
1,18,-1.552963,21393
1,19,-1.595,16743
1,20,-1.627778,12093
12093,1,1.118656,15039
12093,2,1.198092,2794
12093,3,1.283137,32709
12093,4,1.346013,16124
12093,5,1.396769,8839
12093,6,1.411379,1399
12093,7,1.386769,27284
12093,8,1.353333,19379
12093,9,1.312143,3879
12093,10,1.264465,12404
12093,11,1.227209,15969
12093,12,1.191497,19379
12093,13,1.157222,2639
12093,14,1.131149,6514
12093,15,1.105791,10079
12093,16,1.087598,13799
12093,17,1.063352,17209
12093,18,1.04587,20774
12093,19,1.03473,24649
12093,20,1.017647,7909
22323,1,1.08305,27439
22323,2,1.128158,2794
22323,3,1.169932,32709
22323,4,1.18979,16124
22323,5,1.19331,8839
22323,6,1.18831,1399
22323,7,1.166389,27284
22323,8,1.136871,19379
22323,9,1.108333,3879
22323,10,1.073377,12404
22323,11,1.039937,15969
22323,12,1.007901,19379
22323,13,0.983485,2639
22323,14,0.959762,6514
22323,15,0.936696,10079
22323,16,-0.08,13799
22323,17,-1.102341,17209
22323,18,-1.118902,20774
22323,19,-1.135462,24649
22323,20,-1.146243,7909
6978,1,1.078333,27439
6978,2,1.131892,2794
6978,3,1.158611,32709
6978,4,1.187143,16124
6978,5,1.190827,8839
6978,6,1.177143,1399
6978,7,1.155141,27284
6978,8,1.117534,19379
6978,9,1.089228,3879
6978,10,1.054575,12404
6978,11,1.021433,15969
6978,12,0.989689,19379
6978,13,0.965488,2639
6978,14,0.941976,6514
6978,15,-1.080917,10079
6978,16,-1.097751,13799
6978,17,-1.120503,17209
6978,18,-1.137337,20774
6978,19,-1.154172,24649
6978,20,-1.171006,7909
6514,1,1.004091,18760
6514,2,1.008349,22325
6514,3,1.003349,26355
6514,4,0.998349,17675
6514,5,1.002778,30540
6514,6,1.007383,30540
6514,7,1.01217,5585
6514,8,1.017143,14265
6514,9,0.973349,22325
6514,10,-1.077027,31780
6514,11,-1.118063,31780
6514,12,-1.168108,10545
6514,13,-1.209144,22325
6514,14,-1.241171,14265
6514,15,-1.282207,5585
6514,16,-1.323243,30540
6514,17,-1.364279,21240
6514,18,-1.396306,25115
6514,19,-1.428333,29300
6514,20,-1.469369,33175
19379,1,-0.005,18760
19379,2,-0.01,22325
19379,3,-0.015,26355
19379,4,-0.02,17675
19379,5,-0.025,30540
19379,6,-0.03,30540
