s,a,r,sp
1,1,-0.005,14418
1,2,-0.01,11318
1,3,-0.015,4188
1,4,-0.02,60763
1,5,-1.053169,35498
1,6,-1.142676,53013
1,7,-1.232183,24958
1,8,-1.32169,44953
1,9,-1.404155,59988
1,10,-1.48662,7288
1,11,-1.562042,11318
1,12,-1.637465,35498
1,13,-1.705845,60763
1,14,-1.774225,18448
1,15,-1.842606,32708
1,16,-1.910986,1398
1,17,-1.972324,36273
1,18,-2.040704,4963
1,19,-2.102042,39683
1,20,-2.16338,8528
8528,1,1.130436,13954
8528,2,1.281139,45419
8528,3,1.442143,32399
8528,4,1.594776,49914
8528,5,1.75407,65104
8528,6,1.912857,18759
8528,7,2.075345,46349
8528,8,2.145714,25269
8528,9,2.140714,24494
8528,10,2.075,27749
8528,11,2.026633,37514
8528,12,1.959802,47744
8528,13,1.902846,2484
8528,14,1.854528,2484
8528,15,1.808077,13334
8528,16,1.768943,23719
8528,17,1.725651,33949
8528,18,1.699474,33949
8528,19,1.673786,33949
8528,20,1.64359,43869
4188,1,1.103434,13954
4188,2,1.216667,45419
4188,3,1.354048,32399
4188,4,1.4591,49914
4188,5,1.561207,65104
4188,6,1.661176,18759
4188,7,1.675037,46349
4188,8,1.676418,25269
4188,9,1.671418,24494
4188,10,1.622727,27749
4188,11,1.576206,37514
4188,12,1.526207,47744
4188,13,1.494322,2484
4188,14,1.453179,2484
4188,15,1.418506,13334
4188,16,1.384968,23719
4188,17,1.348022,33949
4188,18,1.321043,33949
4188,19,1.294728,33949
4188,20,1.277246,43869
53013,1,1.099478,13954
53013,2,1.223333,45419
53013,3,1.338659,32399
53013,4,1.46495,49914
53013,5,1.566398,65104
53013,6,1.626716,18759
53013,7,1.666149,46349
53013,8,1.635472,25269
53013,9,1.630472,24494
53013,10,1.588376,27749
53013,11,1.536398,37514
53013,12,1.492448,47744
53013,13,1.450358,2484
53013,14,1.41,2484
53013,15,1.37598,13334
53013,16,1.343077,23719
53013,17,1.311226,33949
53013,18,1.288882,33949
53013,19,1.258659,33949
53013,20,1.237349,43869
2484,1,1.031364,64795
2484,2,1.045556,22325
2484,3,1.050421,11940
2484,4,-1.046316,42475
2484,5,-1.156579,29455
2484,6,-1.25807,35500
2484,7,-1.359561,41855
2484,8,-1.452281,28835
2484,9,-1.553772,59990
2484,10,-1.637719,59990
2484,11,-1.730439,59990
2484,12,-1.814386,38445
2484,13,-1.898333,17830
2484,14,-1.982281,64175
2484,15,-2.057456,41855
2484,16,-2.132632,21395
2484,17,-2.207807,935
2484,18,-2.282982,45885
2484,19,-2.358158,25735
2484,20,-2.424561,4190
25269,1,-0.005,64795
25269,2,-0.01,22325
25269,3,-0.015,11940
25269,4,-1.055398,42475
25269,5,-1.166593,29455
25269,6,-1.268938,35500
25269,7,-1.371283,41855
25269,8,-1.464779,28835
25269,9,-1.567124,59990
25269,10,-1.65177,59990
25269,11,-1.745265,59990
25269,12,-1.829912,38445
25269,13,-1.914558,17830
25269,14,-1.999204,64175
25269,15,-2.075,41855
25269,16,-2.150796,21395
25269,17,-2.226593,935
25269,18,-2.302389,45885
25269,19,-2.378186,25735
25269,20,-2.445133,4190
32399,1,1.09197,64795
32399,2,1.173007,22325
32399,3,1.250734,11940
32399,4,1.320741,42475
32399,5,1.378101,29455
32399,6,1.262857,35500
32399,7,1.163675,41855
32399,8,1.084224,28835
32399,9,1.007326,59990
32399,10,-0.05,59990
32399,11,-1.110249,59990
32399,12,-1.164972,38445
32399,13,-1.219696,17830
32399,14,-1.27442,64175
32399,15,-1.323619,41855
32399,16,-1.372818,21395
32399,17,-1.422017,935
32399,18,-1.471215,45885
32399,19,-1.520414,25735
32399,20,-1.564088,4190
64795,1,1.17814,17056
64795,2,1.383836,27751
64795,3,1.626129,47746
64795,4,1.855576,2486
64795,5,2.094792,33951
64795,6,2.336279,66036
64795,7,2.251517,40306
64795,8,2.102105,5586
64795,9,1.979876,27131
64795,10,1.869811,47281
64795,11,1.778333,2021
64795,12,1.69431,12561
64795,13,1.616818,23101
64795,14,1.551514,23101
64795,15,1.490385,33331
64795,16,1.433011,33331
64795,17,1.379029,33331
64795,18,1.333077,23101
64795,19,1.284661,23101
64795,20,1.243234,12561
29455,1,1.188989,17056
29455,2,1.404239,27751
29455,3,1.665769,47746
29455,4,1.930893,2486
29455,5,2.204592,33951
29455,6,2.384365,66036
29455,7,2.420056,40306
29455,8,2.26,5586
29455,9,2.129129,27131
29455,10,2.011321,47281
29455,11,1.913468,2021
29455,12,1.823621,12561
29455,13,1.740785,23101
29455,14,1.671036,23101
29455,15,1.605769,33331
29455,16,1.544535,33331
29455,17,1.486942,33331
29455,18,1.437972,23101
29455,19,1.386356,23101
29455,20,1.342244,12561
45885,1,1.197667,17056
45885,2,1.412713,27751
45885,3,1.686887,47746
45885,4,1.95807,2486
45885,5,2.175,33951
45885,6,2.356243,66036
45885,7,2.498708,40306
45885,8,2.333684,5586
45885,9,2.198781,27131
45885,10,2.077358,47281
45885,11,1.976532,2021
45885,12,1.883966,12561
45885,13,1.798636,23101
45885,14,1.726813,23101
45885,15,1.659615,33331
45885,16,1.59658,33331
45885,17,1.537302,33331
45885,18,1.486923,23101
45885,19,1.433814,23101
45885,20,1.388449,12561
33331,1,1.091677,41857
33331,2,1.18802,44957
33331,3,1.276815,24962
33331,4,1.365496,34882
33331,5,1.404134,44957
33331,6,1.451633,59992
33331,7,1.44061,53017
33331,8,1.406215,937
33331,9,1.378529,60767
33331,10,1.335496,7912
33331,11,1.289444,22327
33331,12,1.250469,46662
33331,13,1.217686,61852
33331,14,1.181724,19227
33331,15,1.151351,54567
33331,16,1.11802,12562
33331,17,1.089757,47282
33331,18,1.066051,16437
33331,19,1.046509,51157
33331,20,1.023839,30697
33951,1,1.070397,53017
33951,2,1.138305,44957
33951,3,1.194821,24962
33951,4,1.223119,34882
33951,5,1.22963,44957
33951,6,1.22463,59992
33951,7,1.202443,53017
33951,8,1.169821,937
33951,9,1.12816,60767
33951,10,1.088655,7912
33951,11,1.051122,22327
33951,12,1.015397,46662
33951,13,0.981332,61852
33951,14,0.941194,19227
33951,15,-1.10083,54567
33951,16,-1.139041,12562
33951,17,-1.177251,47282
33951,18,-1.215461,16437
33951,19,-1.249982,51157
33951,20,-1.280812,30697
66036,1,1.075153,53017
66036,2,1.145102,44957
66036,3,1.204828,24962
66036,4,1.243393,34882
66036,5,1.267237,44957
66036,6,1.250543,59992
66036,7,1.228393,53017
66036,8,1.195808,937
66036,9,1.159255,60767
66036,10,1.119421,7912
66036,11,1.077,22327
66036,12,1.045469,46662
66036,13,1.015153,61852
66036,14,0.982045,19227
66036,15,0.942986,54567
66036,16,-1.094134,12562
66036,17,-1.130936,47282
66036,18,-1.167739,16437
66036,19,-1.201007,51157
66036,20,-1.230742,30697
53017,1,1.202951,49608
53017,2,1.431606,25738
53017,3,1.709891,25738
53017,4,1.945174,25738
53017,5,2.121739,4193
53017,6,2.293529,60768
53017,7,2.465,60768
53017,8,2.647075,60768
53017,9,2.606007,4193
53017,10,2.45,15198
53017,11,2.310269,35503
53017,12,2.197143,938
53017,13,2.081739,21398
53017,14,1.987292,41858
53017,15,1.9,41858
53017,16,1.828213,41858
53017,17,1.752209,32093
53017,18,1.689279,32093
53017,19,1.629891,21398
53017,20,1.573729,21398
16437,1,1.252143,49608
16437,2,1.452916,25738
16437,3,1.61,25738
16437,4,1.7675,25738
16437,5,1.927218,4193
16437,6,2.088519,60768
16437,7,2.253,60768
16437,8,2.414936,60768
16437,9,2.578853,4193
16437,10,2.740244,15198
16437,11,2.908731,35503
16437,12,3.082857,938
16437,13,3.043696,21398
16437,14,2.909167,41858
16437,15,2.785,41858
16437,16,2.683285,41858
16437,17,2.575465,32093
16437,18,2.486577,32093
16437,19,2.402817,21398
16437,20,2.323729,21398
12562,1,1.239755,49608
12562,2,1.477465,25738
12562,3,1.633148,25738
12562,4,1.796327,25738
12562,5,1.952778,4193
12562,6,2.123226,60768
12562,7,2.286739,60768
12562,8,2.455327,60768
12562,9,2.611716,4193
12562,10,2.775397,15198
12562,11,2.945,35503
12562,12,2.991429,938
12562,13,2.837174,21398
12562,14,2.71125,41858
12562,15,2.595,41858
12562,16,2.49971,41858
12562,17,2.398721,32093
12562,18,2.315405,32093
12562,19,2.236878,21398
12562,20,2.162712,21398
49608,1,1.094174,30079
49608,2,1.188198,57359
49608,3,1.301832,64799
49608,4,1.38,49609
49608,5,1.447325,4194
49608,6,1.48711,4194
49608,7,1.505541,60769
49608,8,1.47711,49609
49608,9,1.449382,18454
49608,10,1.411538,53794
49608,11,1.364929,32714
49608,12,1.325417,1404
49608,13,1.292143,36279
49608,14,1.26,4969
49608,15,1.224674,39689
49608,16,1.198846,8534
49608,17,1.165784,54569
49608,18,1.145294,23104
49608,19,1.121463,2024
49608,20,1.098198,47284
32093,1,1.105276,30079
32093,2,1.217147,57359
32093,3,1.327424,64799
32093,4,1.442046,49609
32093,5,1.534859,4194
32093,6,1.580909,4194
32093,7,1.587711,60769
32093,8,1.588676,49609
32093,9,1.560072,18454
32093,10,1.520922,53794
32093,11,1.477872,32714
32093,12,1.446803,1404
32093,13,1.406761,36279
32093,14,1.363657,4969
32093,15,1.331349,39689
32093,16,1.300062,8534
32093,17,1.273896,54569
32093,18,1.244337,23104
32093,19,1.223452,2024
32093,20,1.19912,47284
54569,1,1.198883,24965
54569,2,1.419395,44960
54569,3,1.701263,59995
54569,4,1.956096,41860
54569,5,2.131522,25740
54569,6,2.298638,64800
54569,7,2.470051,46665
54569,8,2.415446,50385
54569,9,2.272757,43255
54569,10,2.154444,2025
54569,11,2.055638,36900
54569,12,1.95626,62475
54569,13,1.8725,51160
54569,14,1.801698,51160
54569,15,1.728636,5590
54569,16,1.666479,2025
54569,17,1.607833,15820
54569,18,1.557841,56740
54569,19,1.505,49610
54569,20,1.459748,47750
47284,1,1.216477,24965
47284,2,1.457742,44960
47284,3,1.735,59995
47284,4,1.902535,41860
47284,5,2.066954,25740
47284,6,2.23556,64800
47284,7,2.41343,46665
47284,8,2.57244,50385
47284,9,2.506402,43255
47284,10,2.376667,2025
47284,11,2.268404,36900
47284,12,2.159512,62475
47284,13,2.067813,51160
47284,14,1.990377,51160
47284,15,1.910455,5590
47284,16,1.842535,2025
47284,17,1.778481,15820
47284,18,1.723953,56740
47284,19,1.66629,49610
47284,20,1.616981,47750
18454,1,1.171991,24965
18454,2,1.365862,44960
18454,3,1.58741,59995
18454,4,1.801918,41860
18454,5,2.021154,25740
18454,6,2.224237,64800
18454,7,2.065,46665
18454,8,1.935248,50385
18454,9,1.819486,43255
18454,10,1.723333,2025
18454,11,1.642872,36900
18454,12,1.561951,62475
18454,13,1.493594,51160
18454,14,1.43566,51160
18454,15,1.375909,5590
18454,16,1.32493,2025
18454,17,1.276775,15820
18454,18,1.235581,56740
18454,19,1.192097,49610
18454,20,1.154717,47750
51160,1,1.218849,38141
51160,2,1.467273,38761
51160,3,1.715769,65111
51160,4,1.879351,54881
51160,5,2.042138,40621
51160,6,2.211379,44186
51160,7,2.382355,9466
51160,8,2.548496,5901
51160,9,2.520789,50851
51160,10,2.3875,49921
51160,11,2.275677,35196
51160,12,2.181379,20316
51160,13,2.085735,31321
51160,14,2.004468,41086
51160,15,1.928425,51936
51160,16,1.863522,51936
51160,17,1.802097,51936
51160,18,1.743856,63096
51160,19,1.693991,63096
51160,20,1.651497,63096
5590,1,1.226707,38141
5590,2,1.471663,38761
5590,3,1.696864,65111
5590,4,1.861988,54881
5590,5,2.022297,40621
5590,6,2.18978,44186
5590,7,2.360257,9466
5590,8,2.527797,5901
5590,9,2.612895,50851
5590,10,2.475,49921
5590,11,2.359343,35196
5590,12,2.261839,20316
5590,13,2.162941,31321
5590,14,2.078936,41086
5590,15,2.000342,51936
5590,16,1.933289,51936
5590,17,1.869839,51936
5590,18,1.809687,63096
5590,19,1.758211,63096
5590,20,1.714371,63096
47750,1,1.239275,38141
47750,2,1.485413,38761
47750,3,1.644033,65111
47750,4,1.806331,54881
47750,5,1.962805,40621
47750,6,2.12894,44186
47750,7,2.293571,9466
47750,8,2.458084,5901
47750,9,2.627131,50851
47750,10,2.666667,49921
47750,11,2.54261,35196
47750,12,2.438084,20316
47750,13,2.332059,31321
47750,14,2.242057,41086
47750,15,2.157877,51936
47750,16,2.086113,51936
47750,17,2.018226,51936
47750,18,1.953887,63096
47750,19,1.898884,63096
47750,20,1.852096,63096
5901,1,1.040181,6832
5901,2,1.081195,63717
5901,3,1.111623,28377
5901,4,1.132824,13962
5901,5,1.1593,9777
5901,6,1.166552,63097
